date,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST,foreAdjustFactor,factor,adjustFactor,vwap,code
2024-01-29,3335.3936,3351.3715,3303.9604,3303.9604,3333.8213,18416479500.0,244698013593.3,0.595207,1.0,-0.895696,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.286905002299706,SH000300
2024-01-30,3283.8977,3300.204,3244.9719,3245.0387,3303.9604,14364935000.0,199592929911.7,0.464264,1.0,-1.783366,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.894454093366939,SH000300
2024-01-31,3231.5425,3252.1475,3201.9264,3215.3518,3245.0387,15314346900.0,215333349921.2,0.494947,1.0,-0.91484,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.060890178816571,SH000300
2024-02-01,3202.2564,3251.7582,3191.8968,3217.7109,3215.3518,14551679200.0,203815063232.5,0.470211,1.0,0.07337,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.006291674743627,SH000300
2024-02-02,3219.8734,3235.4079,3108.3515,3179.6276,3217.7109,17375808900.0,234495151557.0,0.561288,1.0,-1.183553,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.49549554248378,SH000300
2024-02-05,3164.25,3233.8485,3111.5184,3200.4218,3179.6276,20304297000.0,279713141507.2,0.655858,1.0,0.653982,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.776056442988398,SH000300
2024-02-06,3185.2498,3314.512,3182.8216,3311.6922,3200.4218,20271309900.0,285042020945.9,0.654793,1.0,3.476742,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.06135184909289,SH000300
2024-02-07,3314.0306,3343.6303,3289.6704,3343.6303,3311.6922,21664793300.0,297997664575.2,0.699802,1.0,0.964404,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.75492765837743,SH000300
2024-02-08,3351.4052,3367.2101,3336.9779,3364.9297,3343.6303,18997757800.0,270239765211.0,0.613653,1.0,0.637014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.22482421641358,SH000300
2024-02-19,3393.1916,3403.8078,3364.1418,3403.8078,3364.9297,18331980000.0,267674145147.3,0.592126,1.0,1.155391,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.601485772257005,SH000300
2024-02-20,3395.1916,3415.8943,3380.103,3410.8542,3403.8078,14073458100.0,218459281946.0,0.454507,1.0,0.207015,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.52278625436061,SH000300
2024-02-21,3390.3619,3500.1338,3383.6911,3456.8713,3410.8542,18887936200.0,291823544608.2,0.609993,1.0,1.349137,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.450261030011315,SH000300
2024-02-22,3450.3518,3486.6826,3448.4135,3486.6747,3456.8713,14102078400.0,225098128872.7,0.455431,1.0,0.86215,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.962053428429387,SH000300
2024-02-23,3491.3367,3507.5592,3472.968,3489.7416,3486.6747,14482127300.0,232926057113.9,0.467697,1.0,0.087961,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.083690765092225,SH000300
2024-02-26,3485.5427,3492.6061,3445.3889,3453.3585,3489.7416,15124833100.0,238951637715.0,0.488448,1.0,-1.042573,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.798629719424804,SH000300
2024-02-27,3440.0516,3494.7874,3437.4422,3494.7874,3453.3585,13952824600.0,244488721250.8,0.450598,1.0,1.19967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.52252524200727,SH000300
